Time,x0(t),x1(t)
19.34,0.00659,0.08752
19.36,0.00659,0.08728
19.38,0.00659,0.08704
19.4,0.00659,0.08704
19.42,0.00659,0.08679
19.44,0.00659,0.08679
19.46,0.00659,0.08679
19.48,0.00659,0.08679
19.5,0.00659,0.08679
19.52,0.00659,0.08679
19.54,0.00659,0.08679
19.56,0.00659,0.08655
19.58,0.00659,0.0863
19.6,0.00659,0.08606
19.62,0.00659,0.08606
19.64,0.00659,0.08606
19.66,0.00659,0.08533
19.68,0.00659,0.08533
19.7,0.00659,0.08508
19.72,0.00659,0.08459
19.74,0.00659,0.08435
19.76,0.00659,0.08435
19.78,0.00659,0.08435
19.8,0.00659,0.08435
19.82,0.00659,0.08411
19.84,0.00659,0.08337
19.86,0.00659,0.08337
